Country,R,G,B
Georgia,0.3137255012989044,0.07450980693101883,0.08235294371843338
Germany,0.40784314274787903,0.13333334028720856,0.18431372940540314
Ghana,0.062745101749897,0.22745098173618317,0.13333334028720856
Greece,0.48627451062202454,0.16862745583057404,0.21176470816135406
Grenada,0.21960784494876862,0.2235294133424759,0.2235294133424759
Guatemala,0.6431372761726379,0.6960784196853638,0.6431372761726379
Guinea,0.07254902273416519,0.5137255191802979,0.2705882489681244
Guinea-Bissau,0.12156862765550613,0.20980392396450043,0.16274510324001312
Guyana,0.06666667014360428,0.07058823853731155,0.13333334028720856
Haiti,0.09019608050584793,0.10588235408067703,0.18039216101169586
Honduras,0.3490196168422699,0.3686274588108063,0.43921568989753723
Hong Kong,0.15294118225574493,0.1568627506494522,0.3450980484485626
Hungary,0.5568627715110779,0.16862745583057404,0.2705882489681244
Iceland,0.1882352977991104,0.22745098173618317,0.3921568691730499
India,0.18431372940540314,0.19607843458652496,0.2235294133424759
Indonesia,0.054901961237192154,0.4313725531101227,0.34117648005485535
Iran,0.26274511218070984,0.13725490868091583,0.15294118225574493
Iraq,0.07058823853731155,0.08627451211214066,0.0941176488995552
Ireland,0.38823530077934265,0.1725490242242813,0.20000000298023224
Israel,0.1569,0.1765,0.2667
Italy,0.6039215922355652,0.4000000059604645,0.46666666865348816
Jamaica,0.42352941632270813,0.5098039507865906,0.5803921818733215
Japan,0.45098039507865906,0.125490203499794,0.17450980842113495
Jordan,0.2705882489681244,0.3333333432674408,0.4431372582912445
Kazakhstan,0.0313725508749485,0.5098039507865906,0.6196078658103943
Kenya,0.3333333432674408,0.529411792755127,0.729411780834198
Kiribati,0.125490203499794,0.12941177189350128,0.1921568661928177
Kosovo,0.4901960790157318,0.2705882489681244,0.4588235318660736
Kuwait,0.16078431904315948,0.2549019753932953,0.6549019813537598
Kyrgyzstan,0.0,0.5882353186607361,0.7215686440467834
Laos,0.11764705926179886,0.1764705926179886,0.32549020648002625
Latvia,0.6470588445663452,0.16470588743686676,0.16078431904315948
Lebanon,0.35098040103912354,0.33725491166114807,0.37254902720451355
Lesotho,0.2078431397676468,0.27843138575553894,0.3176470696926117
Liberia,0.27450981736183167,0.34117648005485535,0.3960784375667572
Libya,0.16078431904315948,0.16862745583057404,0.40784314274787903
Liechtenstein,0.23529411852359772,0.27450981736183167,0.3176470696926117
Lithuania,0.4470588266849518,0.1764705926179886,0.1882352977991104
Luxembourg,0.25882354378700256,0.1725490242242813,0.16470588743686676
Macao,0.29019609093666077,0.3803921639919281,0.35686275362968445
Macedonia,0.7058823704719543,0.5686274766921997,0.6235294342041016
Madagascar,0.2666666805744171,0.1882352977991104,0.20000000298023224
Malawi,0.1725490242242813,0.1725490242242813,0.1725490242242813
Malaysia,0.6666666865348816,0.13725490868091583,0.14509804546833038
Maldives,0.1568627506494522,0.19019608199596405,0.32156863808631897
Mali,0.16078431904315948,0.10588235408067703,0.1725490242242813
Malta,0.3294117748737335,0.16078431904315948,0.19607843458652496
Marshall Islands,0.14901961386203766,0.18039216101169586,0.30588236451148987
Mauritania,0.05098039284348488,0.24313725531101227,0.12156862765550613
Mauritius,0.125490203499794,0.12941177189350128,0.21176470816135406
Mexico,0.21568627655506134,0.2666666805744171,0.26274511218070984
Micronesia,0.0784313753247261,0.11372549086809158,0.19607843458652496
Moldova,0.4000000059604645,0.13333334028720856,0.20000000298023224
Monaco,0.3843137323856354,0.1411764770746231,0.12941177189350128
Mongolia,0.47843137383461,0.18039216101169586,0.23529411852359772
Montenegro,0.32156863808631897,0.062745101749897,0.08627451211214066
Morocco,0.4117647111415863,0.4431372582912445,0.5333333611488342
Mozambique,0.06666667014360428,0.05882352963089943,0.14901961386203766
Myanmar [Burma],0.6784313917160034,0.20000000298023224,0.2235294133424759
Namibia,0.027450980618596077,0.32156863808631897,0.1882352977991104
Nauru,0.16078431904315948,0.16862745583057404,0.20392157137393951
Nepal,0.4745098054409027,0.5313725471496582,0.4745098054409027
Netherlands,0.364705890417099,0.09803921729326248,0.1764705926179886
New Zealand,0.21568627655506134,0.21176470816135406,0.19607843458652496
Nicaragua,0.18431372940540314,0.24313725531101227,0.38823530077934265
Niger,0.21176470816135406,0.545098066329956,0.2705882489681244
Nigeria,0.20000000298023224,0.33725491166114807,0.30588236451148987
North Korea,0.14901961386203766,0.16862745583057404,0.3333333432674408
